"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[h]"     
          0,           0,         148,      -11.39023979,      -11.82731517,      -12.46766417,      -12.28792742
          0,           0,         149,      -11.41193133,      -11.84866668,      -12.48976224,      -12.30800178
          0,           0,         150,      -11.43360111,      -11.87044029,      -12.51126921,      -12.32947886
          0,           0,         151,      -11.45524884,      -11.89206285,      -12.53303427,      -12.35215637
          0,           0,         152,      -11.47700606,      -11.91355454,      -12.55501205,      -12.37167205
          0,           0,         153,      -11.49866941,      -11.93545763,      -12.57649678,      -12.39491939
          0,           0,         154,      -11.52041816,      -11.95691654,      -12.59854413,       -12.4156686
          0,           0,         155,      -11.54217909,      -11.97869909,      -12.62021248,      -12.43659815
          0,           0,         156,       -11.5638837,      -12.00048112,      -12.64190552,      -12.45982249
          0,           0,         157,      -11.58570885,      -12.02199355,      -12.66400159,      -12.47941357
          0,           0,         158,      -11.60745015,      -12.04397079,      -12.68551276,       -12.5023544
          0,           0,         159,       -11.6292433,      -12.06555078,      -12.70749179,      -12.52384586
          0,           0,         160,      -11.65108306,       -12.0873226,      -12.72934989,      -12.54428201
          0,           0,         161,      -11.67284042,      -12.10924366,      -12.75099451,      -12.56785253
          0,           0,         162,      -11.69471737,      -12.13078868,       -12.7731141,      -12.58772329
          0,           0,         163,      -11.71653152,      -12.15280412,      -12.79472847,      -12.61019692
          0,           0,         164,      -11.73835989,      -12.17451386,      -12.81665471,      -12.63242801
          0,           0,         165,      -11.76026547,      -12.19626372,       -12.8386441,      -12.65248972
          0,           0,         166,      -11.78207334,       -12.2182976,      -12.86028053,      -12.67617986
          0,           0,         167,      -11.80398799,      -12.23989263,      -12.88239634,      -12.69651427
          0,           0,         168,      -11.82586933,      -12.26191366,      -12.90413505,      -12.71842327
          0,           0,         169,      -11.84772699,      -12.28375543,      -12.92602414,      -12.74131943
