"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         152,      -6.414611158,      -3.177426211,      -3.989473167,     -0.9278772619
          0,           0,         153,      -6.832880301,      -3.176536334,      -4.321713345,      -1.308208504
          0,           0,         154,      -6.790454642,      -3.177340649,      -4.283847166,      -1.261973816
          0,           0,         155,      -6.705011468,      -3.181250154,      -4.271686576,      -1.196620046
          0,           0,         156,      -6.431143592,      -3.187904906,      -4.011633351,     -0.9448846257
          0,           0,         157,      -6.837262305,      -3.186992488,      -4.327822829,      -1.314975153
          0,           0,         158,      -6.872274356,      -3.186611135,      -4.335307511,      -1.324683672
          0,           0,         159,      -6.869643652,      -3.188555827,      -4.373089307,      -1.326095822
          0,           0,         160,      -6.682426349,      -3.192544217,      -4.235189385,      -1.179864477
          0,           0,         161,       -6.44649771,      -3.199088455,      -4.031139199,     -0.9607217794
          0,           0,         162,      -6.236179068,      -3.210418403,      -3.866576159,      -0.755540718
          0,           0,         163,      -6.665847468,      -3.208529682,      -4.157009097,      -1.173884515
          0,           0,         164,      -6.833634914,      -3.207674508,      -4.293797926,      -1.304118832
          0,           0,         165,      -6.855193856,      -3.209510785,      -4.352422285,      -1.322456996
          0,           0,         166,      -6.669603805,      -3.213623812,      -4.205809569,      -1.173178467
          0,           0,         167,      -6.447704803,      -3.220229532,      -4.021582967,     -0.9644672038
          0,           0,         168,       -6.86985757,      -3.219173627,      -4.372963546,      -1.351707793
          0,           0,         169,      -6.920665042,      -3.218744012,      -4.390773405,      -1.370924067
          0,           0,         170,      -6.911156937,      -3.220726279,      -4.423877489,      -1.369977938
          0,           0,         171,      -6.702209028,      -3.224775912,      -4.256273508,       -1.20518616
          0,           0,         172,      -6.468929826,      -3.231349294,      -4.055345484,     -0.9861021358
          0,           0,         173,      -6.888734843,      -3.230240388,      -4.400125615,      -1.369813774
          0,           0,         174,      -6.933811254,      -3.229798874,      -4.411254823,      -1.383779996
          0,           0,         175,      -6.934164497,      -3.231795704,      -4.462650505,       -1.39114805
          0,           0,         176,      -6.736306984,      -3.235855315,       -4.31424549,      -1.238474344
          0,           0,         177,      -6.488077731,      -3.242419145,      -4.084094704,      -1.005753067
          0,           0,         178,      -6.900614278,      -3.241287366,      -4.417603719,      -1.382725945
          0,           0,         179,      -6.943525399,      -3.240845813,      -4.426069872,       -1.39490753
          0,           0,         180,      -6.953993244,      -3.242827236,      -4.499403842,      -1.410215756
          0,           0,         181,      -6.749827143,      -3.246874569,        -4.3346167,      -1.252853612
          0,           0,         182,      -6.493989104,       -3.25342306,      -4.085326244,      -1.012364545
          0,           0,         183,      -6.907199124,      -3.252282554,      -4.425982484,      -1.391195086
          0,           0,         184,      -6.954266154,      -3.251837886,       -4.43819241,      -1.406713988
          0,           0,         185,      -6.962040398,      -3.253809237,      -4.507519306,      -1.420638179
          0,           0,         186,      -6.748745707,      -3.257844604,      -4.323129058,      -1.253881874
          0,           0,         187,      -6.500750205,      -3.264383221,      -4.089542801,      -1.019863567
          0,           0,         188,      -6.918835756,      -3.263215727,      -4.439302043,      -1.403934981
          0,           0,         189,      -6.969177268,      -3.262758978,      -4.454351067,      -1.421381683
          0,           0,         190,      -7.033619608,      -3.263383564,      -4.527338456,      -1.463556323
          0,           0,         191,       -7.00716479,       -3.26568989,      -4.563305514,      -1.463923771
          0,           0,         192,      -6.726272144,      -3.269563225,      -4.285563327,      -1.235103374
