"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         192,      -4.830819337,      -3.073520862,       -4.09854488,     -0.9837663784
          0,           0,         193,      -4.832028994,      -3.074457618,      -4.181314302,      -1.007400682
          0,           0,         194,      -4.833608217,      -3.075601367,      -4.222923263,      -1.002868808
          0,           0,         195,      -4.835051781,      -3.076826835,      -4.242063707,      -1.007103578
          0,           0,         196,      -4.836385963,      -3.078084042,      -4.252727106,      -1.012600793
          0,           0,         197,      -4.837701344,      -3.079336698,      -4.257725677,      -1.015958512
          0,           0,         198,      -4.841668961,      -3.083062453,      -4.192075434,     -0.8254786885
          0,           0,         199,      -4.841586134,      -3.083259398,      -4.130177393,       -1.00436012
          0,           0,         200,      -4.842711507,      -3.084150839,      -4.211755414,      -1.027800852
          0,           0,         201,      -4.846864185,      -3.087702894,      -4.206804467,     -0.8354818477
          0,           0,         202,      -4.846846275,      -3.087887462,      -4.157919412,      -1.016035605
          0,           0,         203,      -4.847924455,       -3.08880181,      -4.250551625,      -1.042205563
          0,           0,         204,      -4.849409075,      -3.089898576,       -4.29868343,      -1.036655245
          0,           0,         205,      -4.850783996,       -3.09106655,      -4.319468829,      -1.040101001
          0,           0,         206,      -4.852057016,      -3.092262652,        -4.3301321,      -1.045127042
          0,           0,         207,      -4.855844159,      -3.095874642,      -4.277036262,     -0.8571682082
          0,           0,         208,      -4.855714672,      -3.096079656,      -4.183453672,      -1.033976479
          0,           0,         209,      -4.856789141,      -3.096939482,      -4.265548647,      -1.055668184
          0,           0,         210,      -4.858281496,      -3.097964162,      -4.311658209,       -1.04962431
          0,           0,         211,       -4.85965002,       -3.09907113,      -4.340311338,      -1.054041946
          0,           0,         212,      -4.860895092,      -3.100229448,      -4.358173254,      -1.059969988
          0,           0,         213,      -4.862102204,      -3.101405158,      -4.365220498,      -1.063610327
          0,           0,         214,      -4.863314028,      -3.102569907,      -4.362787602,      -1.065344341
          0,           0,         215,      -4.864542898,      -3.103708887,      -4.357191426,      -1.066216306
          0,           0,         216,      -4.865786119,      -3.104823826,      -4.354691061,      -1.067225122
          0,           0,         217,      -4.867033067,       -3.10592616,      -4.357537667,      -1.068947822
          0,           0,         218,      -4.868272627,      -3.107027229,      -4.364390668,      -1.071365609
          0,           0,         219,      -4.869499028,      -3.108132539,      -4.372584236,      -1.074118956
          0,           0,         220,      -4.870712826,      -3.109241403,      -4.380022547,      -1.076849809
          0,           0,         221,       -4.87191814,      -3.110349776,      -4.385927598,      -1.079368449
          0,           0,         222,      -4.873119203,      -3.111453591,      -4.390670938,      -1.081666539
          0,           0,         223,      -4.874318271,      -3.112550772,      -4.395179973,      -1.083853723
          0,           0,         224,      -4.875515353,      -3.113641475,      -4.400294894,        -1.0860626
          0,           0,         225,      -4.876709144,      -3.114727126,      -4.406364168,      -1.088370161
          0,           0,         226,      -4.877898224,      -3.115809223,      -4.413208401,      -1.090773744
          0,           0,         227,      -4.879081841,      -3.116888578,      -4.420353765,      -1.093217168
          0,           0,         228,      -4.880260059,      -3.117965197,      -4.427325274,      -1.095633992
          0,           0,         229,      -4.881433431,       -3.11903861,      -4.433838534,      -1.097979363
          0,           0,         230,      -4.882602559,       -3.12010831,      -4.439831636,      -1.100239423
          0,           0,         231,      -4.883767801,      -3.121174033,       -4.44537627,      -1.102422407
          0,           0,         232,      -4.884929223,      -3.122235803,      -4.450560284,      -1.104543261
          0,           0,         233,      -4.886086709,      -3.123293819,       -4.45541522,      -1.106612139
          0,           0,         234,      -4.887240112,      -3.124348301,      -4.459910541,      -1.108631081
          0,           0,         235,      -4.888389369,      -3.125399388,      -4.463992639,      -1.110597232
          0,           0,         236,      -4.889534518,      -3.126447116,      -4.467630639,      -1.112508143
          0,           0,         237,       -4.89067567,      -3.127491453,      -4.470841526,      -1.114365493
          0,           0,         238,      -4.891812947,       -3.12853235,      -4.473688603,      -1.116175894
          0,           0,         239,      -4.892946449,      -3.129569788,      -4.476263442,       -1.11794948
          0,           0,         240,      -4.894076235,       -3.13060378,      -4.478665563,      -1.119697718
          0,           0,         241,      -4.895202339,      -3.131634366,      -4.480988994,      -1.121431625
          0,           0,         242,      -4.896324784,      -3.132661591,      -4.483317376,      -1.123160866
          0,           0,         243,      -4.897443603,      -3.133685496,      -4.485724368,       -1.12489361
          0,           0,         244,       -4.89855884,      -3.134706108,      -4.488275223,      -1.126636731
          0,           0,         245,      -4.899670544,      -3.135723444,      -4.491027111,      -1.128395978
          0,           0,         246,      -4.900778772,      -3.136737517,       -4.49402774,      -1.130175911
          0,           0,         247,      -4.901883573,      -3.137748342,      -4.497312735,      -1.131979636
          0,           0,         248,      -4.902984992,      -3.138755939,      -4.500902638,      -1.133808499
          0,           0,         249,      -4.904083065,      -3.139760332,      -4.504800633,      -1.135661908
          0,           0,         250,      -4.905177824,       -3.14076155,      -4.508991836,      -1.137537358
          0,           0,         251,        -4.9062693,       -3.14175962,      -4.513444174,      -1.139430639
          0,           0,         252,      -4.907357518,      -3.142754574,      -4.518110323,      -1.141336151
          0,           0,         253,      -4.908442505,      -3.143746439,      -4.522930189,      -1.143247275
          0,           0,         254,      -4.909524289,      -3.144735242,      -4.527833884,      -1.145156757
          0,           0,         255,      -4.910602892,       -3.14572101,      -4.532745399,      -1.147057137
          0,           0,         256,      -4.911678338,      -3.146703771,      -4.537586734,      -1.148941183
          0,           0,         257,      -4.912750647,      -3.147683554,      -4.542281998,      -1.150802263
          0,           0,         258,      -4.913819835,      -3.148660387,      -4.546761414,      -1.152634661
          0,           0,         259,      -4.914885923,        -3.1496343,      -4.550965323,      -1.154433825
          0,           0,         260,      -4.915948929,      -3.150605319,      -4.554847825,      -1.156196588
          0,           0,         261,      -4.917008876,      -3.151573468,      -4.558379523,      -1.157921287
          0,           0,         262,      -4.918065785,      -3.152538771,      -4.561549013,      -1.159607804
          0,           0,         263,      -4.919119681,      -3.153501249,      -4.564363038,      -1.161257503
          0,           0,         264,      -4.920170589,      -3.154460923,      -4.566845453,      -1.162873095
          0,           0,         265,      -4.921218533,      -3.155417812,      -4.569035176,      -1.164458444
          0,           0,         266,       -4.92226354,      -3.156371936,      -4.570983403,      -1.166018336
          0,           0,         267,      -4.923305637,      -3.157323312,      -4.572750256,      -1.167558216
          0,           0,         268,      -4.924344849,       -3.15827196,      -4.574401165,      -1.169083906
          0,           0,         269,      -4.925381205,      -3.159217896,      -4.576003167,      -1.170601316
          0,           0,         270,      -4.926414731,       -3.16016114,      -4.577621396,       -1.17211616
          0,           0,         271,      -4.927445453,      -3.161101707,      -4.579315943,      -1.173633687
          0,           0,         272,      -4.928473399,      -3.162039616,      -4.581139224,       -1.17515844
          0,           0,         273,      -4.929498594,      -3.162974882,      -4.583133908,      -1.176694052
          0,           0,         274,      -4.930521064,      -3.163907524,      -4.585331377,       -1.17824309
          0,           0,         275,      -4.931540834,      -3.164837556,      -4.587750696,      -1.179806958
          0,           0,         276,      -4.932557928,      -3.165764998,      -4.590398102,      -1.181385873
          0,           0,         277,      -4.933572368,      -3.166689866,      -4.593267067,      -1.182978903
          0,           0,         278,      -4.936641435,      -3.169587992,      -4.506678085,      -1.007897174
          0,           0,         279,      -4.936465908,       -3.16972261,      -4.409432951,      -1.172109613
          0,           0,         280,      -4.939442694,       -3.17231677,      -4.424998099,      -1.012795432
          0,           0,         281,      -4.939412339,       -3.17236584,      -4.414459134,      -1.175445254
          0,           0,         282,      -4.942415037,      -3.174953547,      -4.466600885,      -1.019927522
          0,           0,         283,      -4.942346047,      -3.175030314,      -4.431821516,      -1.181758092
          0,           0,         284,      -4.945308756,      -3.177626364,      -4.478000119,      -1.025145315
          0,           0,         285,      -4.945237581,      -3.177697331,       -4.43542364,      -1.185676504
          0,           0,         286,      -4.948201017,      -3.180263207,      -4.473015473,      -1.028827183
          0,           0,         287,      -4.948136908,      -3.180322718,      -4.438893157,      -1.189225726
          0,           0,         288,      -4.951090819,      -3.182869627,      -4.479047806,       -1.03349647
          0,           0,         289,      -4.951022249,       -3.18292854,      -4.445325127,      -1.193398104
          0,           0,         290,      -4.953960417,      -3.185461898,      -4.483346981,       -1.03810954
          0,           0,         291,      -4.953889264,      -3.185519106,       -4.45005653,      -1.197331372
          0,           0,         292,      -4.956814586,      -3.188035294,      -4.484053694,       -1.04242219
          0,           0,         293,      -4.956742852,      -3.188089629,      -4.454066923,      -1.201102584
          0,           0,         294,      -4.959654583,      -3.190589213,      -4.485413469,      -1.046787998
          0,           0,         295,      -4.959581315,      -3.190641884,      -4.458417656,      -1.204936567
          0,           0,         296,      -4.960478961,      -3.191232629,      -4.559533043,      -1.222601388
          0,           0,         297,      -4.961583017,      -3.192030573,      -4.627158143,      -1.219738407
          0,           0,         298,      -4.962581439,      -3.192896466,      -4.665161092,      -1.223372314
          0,           0,         299,      -4.963512461,      -3.193784441,      -4.677428469,      -1.227175418
          0,           0,         300,      -4.966391573,      -3.196542113,      -4.561441127,      -1.057191961
          0,           0,         301,      -4.966196955,      -3.196653151,      -4.465796889,      -1.214574851
          0,           0,         302,      -4.969040152,      -3.199061507,      -4.452811421,      -1.058816103
          0,           0,         303,      -4.969006242,      -3.199076245,      -4.465926471,      -1.216562386
          0,           0,         304,      -4.971863942,      -3.201487869,      -4.507713504,      -1.067478874
          0,           0,         305,      -4.971777782,      -3.201545956,      -4.489920937,      -1.223861602
          0,           0,         306,      -4.972641638,      -3.202128306,      -4.593355943,      -1.241421768
          0,           0,         307,      -4.973702862,      -3.202913556,       -4.66004431,      -1.238555329
          0,           0,         308,         -4.974667,      -3.203759103,      -4.696018621,      -1.241889247
          0,           0,         309,      -4.977473673,      -3.206460393,      -4.607890542,      -1.077327649
          0,           0,         310,      -4.977260411,      -3.206578832,      -4.498014191,       -1.23265241
          0,           0,         311,      -4.978092978,      -3.207138017,      -4.575133769,      -1.247811729
          0,           0,         312,      -4.979184267,      -3.207866003,      -4.633035622,      -1.243619696
          0,           0,         313,      -4.980176942,      -3.208661189,      -4.686495468,      -1.247878988
          0,           0,         314,       -4.98108482,      -3.209496682,      -4.721224907,      -1.252844271
          0,           0,         315,      -4.981965356,      -3.210349196,      -4.729087047,       -1.25575102
          0,           0,         316,      -4.982850484,      -3.211194617,      -4.716606421,      -1.256847525
